PG,SG,SF,PF,C,G,F,UTIL
26936349,26936505,26936484,26936452,26936258,26936597,26936267,26936560
26936349,26936505,26936484,26936452,26936258,26936597,26936267,26936560
26936349,26936505,26936484,26936452,26936258,26936597,26936267,26936543
