Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Onyeka Okongwu (26936537),Onyeka Okongwu,26936537,C/UTIL,4000,ATL@WAS 03/10/2023 07:00PM ET,ATL,23.36
PG/SG,Seth Curry (26936539),Seth Curry,26936539,PG/SG/G/UTIL,3900,BKN@MIN 03/10/2023 08:00PM ET,BKN,16.94
SG/SF,Corey Kispert (26936546),Corey Kispert,26936546,SG/SF/F/G/UTIL,3900,ATL@WAS 03/10/2023 07:00PM ET,WAS,16.57
PF,Rui Hachimura (26936543),Rui Hachimura,26936543,PF/F/UTIL,3900,TOR@LAL 03/10/2023 10:30PM ET,LAL,20.50
SF/PF,Taurean Prince (26936553),Taurean Prince,26936553,SF/PF/F/UTIL,3800,BKN@MIN 03/10/2023 08:00PM ET,MIN,16.05
SF/PF,Royce O'Neale (26936560),Royce O'Neale,26936560,SF/PF/F/UTIL,3800,BKN@MIN 03/10/2023 08:00PM ET,BKN,24.06
C,Drew Eubanks (26936551),Drew Eubanks,26936551,C/UTIL,3800,POR@PHI 03/10/2023 07:00PM ET,POR,17.22
PF,Chris Boucher (26936557),Chris Boucher,26936557,PF/F/UTIL,3800,TOR@LAL 03/10/2023 10:30PM ET,TOR,20.88
SG/SF,Isaac Okoro (26936566),Isaac Okoro,26936566,SG/SF/F/G/UTIL,3700,CLE@MIA 03/10/2023 08:00PM ET,CLE,13.62
SF/PF,Jalen McDaniels (26936571),Jalen McDaniels,26936571,SF/PF/F/UTIL,3700,POR@PHI 03/10/2023 07:00PM ET,PHI,21.34
C,Precious Achiuwa (26936564),Precious Achiuwa,26936564,C/UTIL,3700,TOR@LAL 03/10/2023 10:30PM ET,TOR,21.14
PG/SG,Gabe Vincent (26936575),Gabe Vincent,26936575,PG/SG/G/UTIL,3500,CLE@MIA 03/10/2023 08:00PM ET,MIA,17.86
SF/PF,Lamar Stevens (26936593),Lamar Stevens,26936593,SF/PF/F/UTIL,3500,CLE@MIA 03/10/2023 08:00PM ET,CLE,11.52
PG/SG,Nickeil Alexander-Walker (26936589),Nickeil Alexander-Walker,26936589,PG/SG/G/UTIL,3500,BKN@MIN 03/10/2023 08:00PM ET,MIN,13.69
C,Trendon Watford (26936583),Trendon Watford,26936583,C/UTIL,3500,POR@PHI 03/10/2023 07:00PM ET,POR,14.03
PG/SG,Blake Wesley (26936579),Blake Wesley,26936579,PG/SG/G/UTIL,3500,DEN@SAS 03/10/2023 08:00PM ET,SAS,10.04
PG/SG,Reggie Jackson (26936585),Reggie Jackson,26936585,PG/SG/G/UTIL,3500,DEN@SAS 03/10/2023 08:00PM ET,DEN,19.96
SG/SF,Max Strus (26936597),Max Strus,26936597,SG/SF/F/G/UTIL,3400,CLE@MIA 03/10/2023 08:00PM ET,MIA,21.74
PG/SG,Patty Mills (26936607),Patty Mills,26936607,PG/SG/G/UTIL,3400,BKN@MIN 03/10/2023 08:00PM ET,BKN,10.66
C,Paul Reed (26936602),Paul Reed,26936602,C/UTIL,3400,POR@PHI 03/10/2023 07:00PM ET,PHI,10.50
PF,Dominick Barlow (26936604),Dominick Barlow,26936604,PF/F/UTIL,3400,DEN@SAS 03/10/2023 08:00PM ET,SAS,8.12
PG,Ricky Rubio (26936623),Ricky Rubio,26936623,PG/G/UTIL,3300,CLE@MIA 03/10/2023 08:00PM ET,CLE,15.1
SG,Jaylen Nowell (26936611),Jaylen Nowell,26936611,SG/G/UTIL,3300,BKN@MIN 03/10/2023 08:00PM ET,MIN,18.68
SF/PF,Nassir Little (26936614),Nassir Little,26936614,SF/PF/F/UTIL,3300,POR@PHI 03/10/2023 07:00PM ET,POR,12.9
PF,P.J. Tucker (26936620),P.J. Tucker,26936620,PF/F/UTIL,3300,POR@PHI 03/10/2023 07:00PM ET,PHI,11.09
C,Thomas Bryant (26936618),Thomas Bryant,26936618,C/UTIL,3300,DEN@SAS 03/10/2023 08:00PM ET,DEN,21.24
C,Cody Zeller (26936626),Cody Zeller,26936626,C/UTIL,3200,CLE@MIA 03/10/2023 08:00PM ET,MIA,11.78
PG,Jordan McLaughlin (26936642),Jordan McLaughlin,26936642,PG/G/UTIL,3200,BKN@MIN 03/10/2023 08:00PM ET,MIN,11.82
PF,Jalen Johnson (26936630),Jalen Johnson,26936630,PF/F/UTIL,3200,ATL@WAS 03/10/2023 07:00PM ET,ATL,13.34
PF,Georges Niang (26936637),Georges Niang,26936637,PF/F/UTIL,3200,POR@PHI 03/10/2023 07:00PM ET,PHI,14.88
PG/SG,Shaedon Sharpe (26936645),Shaedon Sharpe,26936645,PG/SG/G/UTIL,3200,POR@PHI 03/10/2023 07:00PM ET,POR,13.59
C,Mo Bamba (26936628),Mo Bamba,26936628,C/UTIL,3200,TOR@LAL 03/10/2023 10:30PM ET,LAL,16.77
PF/C,Jeff Green (26936633),Jeff Green,26936633,PF/C/F/UTIL,3200,DEN@SAS 03/10/2023 08:00PM ET,DEN,14.02
C,Sandro Mamukelashvili (26936640),Sandro Mamukelashvili,26936640,C/UTIL,3200,DEN@SAS 03/10/2023 08:00PM ET,SAS,7.31
PF,Duncan Robinson (26936649),Duncan Robinson,26936649,PF/F/UTIL,3100,CLE@MIA 03/10/2023 08:00PM ET,MIA,11.92
PG/SG,Jordan Goodwin (26936652),Jordan Goodwin,26936652,PG/SG/G/UTIL,3100,ATL@WAS 03/10/2023 07:00PM ET,WAS,16.51
SG/SF,AJ Griffin (26936663),AJ Griffin,26936663,SG/SF/F/G/UTIL,3100,ATL@WAS 03/10/2023 07:00PM ET,ATL,14.95
PG/SG,Shake Milton (26936656),Shake Milton,26936656,PG/SG/G/UTIL,3100,POR@PHI 03/10/2023 07:00PM ET,PHI,16.68
SF,Doug McDermott (26936660),Doug McDermott,26936660,SF/F/UTIL,3100,DEN@SAS 03/10/2023 08:00PM ET,SAS,15.55
SF/PF,Vlatko Cancar (26936668),Vlatko Cancar,26936668,SF/PF/F/UTIL,3100,DEN@SAS 03/10/2023 08:00PM ET,DEN,12.38
C,Nikola Jovic (26936672),Nikola Jovic,26936672,C/UTIL,3000,CLE@MIA 03/10/2023 08:00PM ET,MIA,10.18
C,Omer Yurtseven (26936674),Omer Yurtseven,26936674,C/UTIL,3000,CLE@MIA 03/10/2023 08:00PM ET,MIA,0
C,Udonis Haslem (26936676),Udonis Haslem,26936676,C/UTIL,3000,CLE@MIA 03/10/2023 08:00PM ET,MIA,2.83
SG,Jamal Cain (26936678),Jamal Cain,26936678,SG/G/UTIL,3000,CLE@MIA 03/10/2023 08:00PM ET,MIA,10.23
C,Orlando Robinson (26936681),Orlando Robinson,26936681,C/UTIL,3000,CLE@MIA 03/10/2023 08:00PM ET,MIA,11.47
SF/PF,Haywood Highsmith (26936683),Haywood Highsmith,26936683,SF/PF/F/UTIL,3000,CLE@MIA 03/10/2023 08:00PM ET,MIA,12.42
PG,Raul Neto (26936780),Raul Neto,26936780,PG/G/UTIL,3000,CLE@MIA 03/10/2023 08:00PM ET,CLE,7.17
C,Robin Lopez (26936783),Robin Lopez,26936783,C/UTIL,3000,CLE@MIA 03/10/2023 08:00PM ET,CLE,5.05
