Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Matthew Phillips (26943938),Matthew Phillips,26943938,C/UTIL,2500,ANH@CGY 03/10/2023 09:00PM ET,CGY,0.75
RW,Sam Carrick (26944006),Sam Carrick,26944006,W/UTIL,2500,ANH@CGY 03/10/2023 09:00PM ET,ANH,2.92
LW,Max Comtois (26944008),Max Comtois,26944008,W/UTIL,2500,ANH@CGY 03/10/2023 09:00PM ET,ANH,4.32
RW,Brett Leason (26944010),Brett Leason,26944010,W/UTIL,2500,ANH@CGY 03/10/2023 09:00PM ET,ANH,2.77
RW,Jayson Megna (26944012),Jayson Megna,26944012,W/UTIL,2500,ANH@CGY 03/10/2023 09:00PM ET,ANH,2.28
LW,Justin Kirkland (26944014),Justin Kirkland,26944014,W/UTIL,2500,ANH@CGY 03/10/2023 09:00PM ET,ANH,1.63
LW,Pavol Regenda (26944016),Pavol Regenda,26944016,W/UTIL,2500,ANH@CGY 03/10/2023 09:00PM ET,ANH,4.78
LW,Milan Lucic (26944018),Milan Lucic,26944018,W/UTIL,2500,ANH@CGY 03/10/2023 09:00PM ET,CGY,3.18
RW,Walker Duehr (26944020),Walker Duehr,26944020,W/UTIL,2500,ANH@CGY 03/10/2023 09:00PM ET,CGY,4.71
D,Colton White (26944092),Colton White,26944092,D/UTIL,2500,ANH@CGY 03/10/2023 09:00PM ET,ANH,2.96
D,Jamie Drysdale (26944094),Jamie Drysdale,26944094,D/UTIL,2500,ANH@CGY 03/10/2023 09:00PM ET,ANH,2.48
D,Urho Vaakanainen (26944096),Urho Vaakanainen,26944096,D/UTIL,2500,ANH@CGY 03/10/2023 09:00PM ET,ANH,4.3
D,John Moore (26944098),John Moore,26944098,D/UTIL,2500,ANH@CGY 03/10/2023 09:00PM ET,ANH,0
D,Drew Helleson (26944100),Drew Helleson,26944100,D/UTIL,2500,ANH@CGY 03/10/2023 09:00PM ET,ANH,0
D,Andrej Sustr (26944102),Andrej Sustr,26944102,D/UTIL,2500,ANH@CGY 03/10/2023 09:00PM ET,ANH,0
D,Dennis Gilbert (26944104),Dennis Gilbert,26944104,D/UTIL,2500,ANH@CGY 03/10/2023 09:00PM ET,CGY,4.25
D,Nick DeSimone (26944106),Nick DeSimone,26944106,D/UTIL,2500,ANH@CGY 03/10/2023 09:00PM ET,CGY,3.55
C,Jujhar Khaira (26943924),Jujhar Khaira,26943924,C/UTIL,2500,CHI@FLA 03/10/2023 07:00PM ET,CHI,3.80
