Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,Alex Ellis (26905547),Alex Ellis,26905547,WR/TE/FLEX,2500,VGS@DC 03/12/2023 07:00PM ET,DC,0
TE,Jaylen Smith (26905523),Jaylen Smith,26905523,WR/TE/FLEX,2500,HOU@ORL 03/11/2023 07:00PM ET,ORL,0
TE,Garrett Owens (26905537),Garrett Owens,26905537,WR/TE/FLEX,2500,HOU@ORL 03/11/2023 07:00PM ET,HOU,0.2
TE,Ryan Becker (26905541),Ryan Becker,26905541,WR/TE/FLEX,2500,HOU@ORL 03/11/2023 07:00PM ET,ORL,2.9
TE,Ben Beise (26905539),Ben Beise,26905539,WR/TE/FLEX,2500,SA@SEA 03/11/2023 10:00PM ET,SA,0
TE,Jovani Haskins (26905531),Jovani Haskins,26905531,WR/TE/FLEX,2500,ARL@STL 03/12/2023 04:00PM ET,STL,0
TE,Shaun Beyer (26905535),Shaun Beyer,26905535,WR/TE/FLEX,2500,ARL@STL 03/12/2023 04:00PM ET,ARL,0
TE,Nate Becker (26905545),Nate Becker,26905545,WR/TE/FLEX,2500,ARL@STL 03/12/2023 04:00PM ET,ARL,8.3
TE,Sean Price (26905525),Sean Price,26905525,WR/TE/FLEX,2500,VGS@DC 03/12/2023 07:00PM ET,VGS,0
TE,Brandon Dillon (26905527),Brandon Dillon,26905527,WR/TE/FLEX,2500,VGS@DC 03/12/2023 07:00PM ET,VGS,1.6
TE,Travis Koontz (26905529),Travis Koontz,26905529,WR/TE/FLEX,2500,VGS@DC 03/12/2023 07:00PM ET,VGS,1.9
TE,Trae Barry (26905533),Trae Barry,26905533,WR/TE/FLEX,2500,VGS@DC 03/12/2023 07:00PM ET,DC,0
TE,Briley Moore-McKinney (26905543),Briley Moore-McKinney,26905543,WR/TE/FLEX,2500,VGS@DC 03/12/2023 07:00PM ET,DC,0
