Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2B/SS,Ha-Seong Kim (26944734),Ha-Seong Kim,26944734,2B/SS,4500,SD@KC 03/10/2023 03:03PM ET,SD,6.32
RP,Tom Cosgrove (26944741),Tom Cosgrove,26944741,P,4500,SD@KC 03/10/2023 03:03PM ET,SD,0
SS,Shervyen Newton (26944752),Shervyen Newton,26944752,SS,4500,SD@KC 03/10/2023 03:03PM ET,KC,0
SP,Max Castillo (26944754),Max Castillo,26944754,P,4500,SD@KC 03/10/2023 03:03PM ET,KC,5.54
SP,Jay Groome (26944757),Jay Groome,26944757,P,4500,SD@KC 03/10/2023 03:03PM ET,SD,0
OF,Daniel Johnson (26944762),Daniel Johnson,26944762,OF,4500,SD@KC 03/10/2023 03:03PM ET,SD,0
3B/SS,Nicky Lopez (26944766),Nicky Lopez,26944766,3B/SS,4500,SD@KC 03/10/2023 03:03PM ET,KC,4.29
RP,Brooks Kriske (26944769),Brooks Kriske,26944769,P,4500,SD@KC 03/10/2023 03:03PM ET,KC,0
C,Freddy Fermin (26944771),Freddy Fermin,26944771,C,4500,SD@KC 03/10/2023 03:03PM ET,KC,0.67
2B/OF,Samad Taylor (26944772),Samad Taylor,26944772,2B/OF,4500,SD@KC 03/10/2023 03:03PM ET,KC,0
RP,Richard Lovelady (26944774),Richard Lovelady,26944774,P,4500,SD@KC 03/10/2023 03:03PM ET,KC,0
RP,Michel Baez (26944793),Michel Baez,26944793,P,4500,SD@KC 03/10/2023 03:03PM ET,SD,3.95
SP,Adrian Morejon (26944794),Adrian Morejon,26944794,P,4500,SD@KC 03/10/2023 03:03PM ET,SD,3.18
SP,Jonathan Bowlan (26944796),Jonathan Bowlan,26944796,P,4500,SD@KC 03/10/2023 03:03PM ET,KC,0
RP,Dylan Coleman (26944797),Dylan Coleman,26944797,P,4500,SD@KC 03/10/2023 03:03PM ET,KC,3.22
RP,Reiss Knehr (26944801),Reiss Knehr,26944801,P,4500,SD@KC 03/10/2023 03:03PM ET,SD,5.47
3B/SS,Maikel Garcia (26944803),Maikel Garcia,26944803,3B/SS,4500,SD@KC 03/10/2023 03:03PM ET,KC,3.44
RP,Jose Lopez (26944808),Jose Lopez,26944808,P,4500,SD@KC 03/10/2023 03:03PM ET,SD,0
SP,Angel Zerpa (26944809),Angel Zerpa,26944809,P,4500,SD@KC 03/10/2023 03:03PM ET,KC,9.18
OF,Kyle Isbel (26944813),Kyle Isbel,26944813,OF,4500,SD@KC 03/10/2023 03:03PM ET,KC,4.15
SP,Kris Bubic (26944817),Kris Bubic,26944817,P,4500,SD@KC 03/10/2023 03:03PM ET,KC,8.16
SP,Daniel Lynch (26944821),Daniel Lynch,26944821,P,4500,SD@KC 03/10/2023 03:03PM ET,KC,10.34
1B,Nick Pratto (26944824),Nick Pratto,26944824,1B,4500,SD@KC 03/10/2023 03:03PM ET,KC,5.53
C,Luis Campusano (26944826),Luis Campusano,26944826,C,4500,SD@KC 03/10/2023 03:03PM ET,SD,4.06
OF,Drew Waters (26944827),Drew Waters,26944827,OF,4500,SD@KC 03/10/2023 03:03PM ET,KC,6.53
C/OF,MJ Melendez (26944828),MJ Melendez,26944828,C/OF,4500,SD@KC 03/10/2023 03:03PM ET,KC,6.70
2B/3B,Evan Mendoza (26944835),Evan Mendoza,26944835,2B/3B,4500,SD@KC 03/10/2023 03:03PM ET,SD,0
RP,Collin Snider (26944837),Collin Snider,26944837,P,4500,SD@KC 03/10/2023 03:03PM ET,KC,1.27
3B,Matthew Batten (26944843),Matthew Batten,26944843,3B,4500,SD@KC 03/10/2023 03:03PM ET,SD,1.07
SP,Carlos Hernandez (26944848),Carlos Hernandez,26944848,P,4500,SD@KC 03/10/2023 03:03PM ET,KC,1.44
