Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RP,Julian Merryweather (26944679),Julian Merryweather,26944679,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,1.62
1B/OF,Gavin Sheets (26944683),Gavin Sheets,26944683,1B/OF,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,5.24
OF,Eloy Jimenez (26944685),Eloy Jimenez,26944685,OF,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,7.67
3B,Yoan Moncada (26944695),Yoan Moncada,26944695,3B,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,6.14
C,Seby Zavala (26944720),Seby Zavala,26944720,C,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,5.18
RP,Nicholas Padilla (26944721),Nicholas Padilla,26944721,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,1.35
2B,Nick Madrigal (26944722),Nick Madrigal,26944722,2B,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,4.64
RP,Brandon Hughes (26944736),Brandon Hughes,26944736,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,3.38
1B/3B,Jake Burger (26944743),Jake Burger,26944743,1B/3B,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,6.33
SP,Davis Martin (26944745),Davis Martin,26944745,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,9.39
SP,Gregory Santos (26944753),Gregory Santos,26944753,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,2.32
C,Miguel Amaya (26944755),Miguel Amaya,26944755,C,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,0
RP,Jimmy Lambert (26944761),Jimmy Lambert,26944761,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,3.02
2B/SS,Miles Mastrobuoni (26944775),Miles Mastrobuoni,26944775,2B/SS,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,2.25
RP,Keegan Thompson (26944782),Keegan Thompson,26944782,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,11.23
RP,Hayden Wesneski (26944783),Hayden Wesneski,26944783,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,19.31
2B/SS,Zach McKinstry (26944785),Zach McKinstry,26944785,2B/SS,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,5.26
SP,A.J. Alexy (26944790),A.J. Alexy,26944790,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,0.59
RP,Michael Rucker (26944791),Michael Rucker,26944791,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,3.54
SP,Javier Assad (26944792),Javier Assad,26944792,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,10.42
OF,Luis Robert Jr. (26944795),Luis Robert Jr.,26944795,OF,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,7.74
OF,Alexander Canario (26944805),Alexander Canario,26944805,OF,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,0
2B/OF,Christopher Morel (26944806),Christopher Morel,26944806,2B/OF,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,6.84
SS,Nico Hoerner (26944814),Nico Hoerner,26944814,SS,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,7.02
OF,Nelson Velazquez (26944833),Nelson Velazquez,26944833,OF,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,4.47
RP,Jeremiah Estrada (26944834),Jeremiah Estrada,26944834,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,3.87
SP,Ben Brown (26944844),Ben Brown,26944844,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,0
RP,Garrett Crochet (26944845),Garrett Crochet,26944845,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,0
2B,Lenyn Sosa (26944847),Lenyn Sosa,26944847,2B,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,2.82
SP,Caleb Kilian (26944858),Caleb Kilian,26944858,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,1.03
SS,Jose Rodriguez (26944864),Jose Rodriguez,26944864,SS,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,0
OF,Brennen Davis (26944871),Brennen Davis,26944871,OF,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,0
RP,Franklin German (26944872),Franklin German,26944872,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,-1.12
2B/OF,Romy Gonzalez (26944876),Romy Gonzalez,26944876,2B/OF,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,5
1B,Andrew Vaughn (26944889),Andrew Vaughn,26944889,1B,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,7.06
SP,Ryan Jensen (26944892),Ryan Jensen,26944892,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,0
RP,Nick Avila (26944897),Nick Avila,26944897,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,0
1B,Bryce Ball (26944898),Bryce Ball,26944898,1B,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,0
3B,Bryan Ramos (26944899),Bryan Ramos,26944899,3B,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,0
OF,Kevin Alcantara (26944900),Kevin Alcantara,26944900,OF,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,0
OF,Pete Crow-Armstrong (26944902),Pete Crow-Armstrong,26944902,OF,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,0
RP,Daniel Bard (26944525),Daniel Bard,26944525,P,4500,SF@COL 03/10/2023 03:10PM ET,COL,4.14
SP,Alex Cobb (26944526),Alex Cobb,26944526,P,4500,SF@COL 03/10/2023 03:10PM ET,SF,15.14
RP,Fernando Abad (26944534),Fernando Abad,26944534,P,4500,SF@COL 03/10/2023 03:10PM ET,COL,0
RP,Brad Hand (26944540),Brad Hand,26944540,P,4500,SF@COL 03/10/2023 03:10PM ET,COL,2.25
OF,Charlie Blackmon (26944541),Charlie Blackmon,26944541,OF,4500,SF@COL 03/10/2023 03:10PM ET,COL,7.27
SS,Brandon Crawford (26944542),Brandon Crawford,26944542,SS,4500,SF@COL 03/10/2023 03:10PM ET,SF,5.88
SP,Anthony DeSclafani (26944544),Anthony DeSclafani,26944544,P,4500,SF@COL 03/10/2023 03:10PM ET,SF,5.07
1B,Wilmer Flores (26944545),Wilmer Flores,26944545,1B,4500,SF@COL 03/10/2023 03:10PM ET,SF,6.49
OF,Randal Grichuk (26944548),Randal Grichuk,26944548,OF,4500,SF@COL 03/10/2023 03:10PM ET,COL,6.59
RP,Pierce Johnson (26944553),Pierce Johnson,26944553,P,4500,SF@COL 03/10/2023 03:10PM ET,COL,3.87
OF,Mitch Haniger (26944556),Mitch Haniger,26944556,OF,4500,SF@COL 03/10/2023 03:10PM ET,SF,7.40
OF,Mike Yastrzemski (26944557),Mike Yastrzemski,26944557,OF,4500,SF@COL 03/10/2023 03:10PM ET,SF,6.23
RP,Taylor Rogers (26944558),Taylor Rogers,26944558,P,4500,SF@COL 03/10/2023 03:10PM ET,SF,3.16
C,Elias Diaz (26944560),Elias Diaz,26944560,C,4500,SF@COL 03/10/2023 03:10PM ET,COL,5.36
SP,Jose Urena (26944561),Jose Urena,26944561,P,4500,SF@COL 03/10/2023 03:10PM ET,COL,7.45
RP,Scott Alexander (26944563),Scott Alexander,26944563,P,4500,SF@COL 03/10/2023 03:10PM ET,SF,2.78
RP,Luke Jackson (26944567),Luke Jackson,26944567,P,4500,SF@COL 03/10/2023 03:10PM ET,SF,0
1B/OF,Joc Pederson (26944572),Joc Pederson,26944572,1B/OF,4500,SF@COL 03/10/2023 03:10PM ET,SF,6.71
OF,Kris Bryant (26944574),Kris Bryant,26944574,OF,4500,SF@COL 03/10/2023 03:10PM ET,COL,7.81
1B,C.J. Cron (26944577),C.J. Cron,26944577,1B,4500,SF@COL 03/10/2023 03:10PM ET,COL,7.88
RP,John Brebbia (26944580),John Brebbia,26944580,P,4500,SF@COL 03/10/2023 03:10PM ET,SF,2.41
OF,Yonathan Daza (26944582),Yonathan Daza,26944582,OF,4500,SF@COL 03/10/2023 03:10PM ET,COL,5.68
1B,J.D. Davis (26944590),J.D. Davis,26944590,1B,4500,SF@COL 03/10/2023 03:10PM ET,SF,5.35
RP,Ross Stripling (26944593),Ross Stripling,26944593,P,4500,SF@COL 03/10/2023 03:10PM ET,SF,12.21
SP,Kyle Freeland (26944602),Kyle Freeland,26944602,P,4500,SF@COL 03/10/2023 03:10PM ET,COL,11.54
SP,Jakob Junis (26944603),Jakob Junis,26944603,P,4500,SF@COL 03/10/2023 03:10PM ET,SF,11.68
OF,Austin Slater (26944604),Austin Slater,26944604,OF,4500,SF@COL 03/10/2023 03:10PM ET,SF,5.01
SP,Alex Wood (26944605),Alex Wood,26944605,P,4500,SF@COL 03/10/2023 03:10PM ET,SF,12.91
RP,Brent Suter (26944608),Brent Suter,26944608,P,4500,SF@COL 03/10/2023 03:10PM ET,COL,3.15
SP,German Marquez (26944609),German Marquez,26944609,P,4500,SF@COL 03/10/2023 03:10PM ET,COL,12.70
SP,Antonio Senzatela (26944612),Antonio Senzatela,26944612,P,4500,SF@COL 03/10/2023 03:10PM ET,COL,6.76
OF,Michael Conforto (26944630),Michael Conforto,26944630,OF,4500,SF@COL 03/10/2023 03:10PM ET,SF,0
SP,Sean Manaea (26944631),Sean Manaea,26944631,P,4500,SF@COL 03/10/2023 03:10PM ET,SF,12.71
2B/3B,Ryan McMahon (26944641),Ryan McMahon,26944641,2B/3B,4500,SF@COL 03/10/2023 03:10PM ET,COL,6.69
RP,Tyler Rogers (26944658),Tyler Rogers,26944658,P,4500,SF@COL 03/10/2023 03:10PM ET,SF,2.35
2B/SS,Thairo Estrada (26944659),Thairo Estrada,26944659,2B/SS,4500,SF@COL 03/10/2023 03:10PM ET,SF,7.18
SP,Austin Gomber (26944665),Austin Gomber,26944665,P,4500,SF@COL 03/10/2023 03:10PM ET,COL,7.05
2B/SS,Isan Diaz (26944670),Isan Diaz,26944670,2B/SS,4500,SF@COL 03/10/2023 03:10PM ET,SF,0
SP,Logan Webb (26944674),Logan Webb,26944674,P,4500,SF@COL 03/10/2023 03:10PM ET,SF,18.00
SP,Connor Seabold (26944680),Connor Seabold,26944680,P,4500,SF@COL 03/10/2023 03:10PM ET,COL,1.13
RP,Lucas Gilbreath (26944682),Lucas Gilbreath,26944682,P,4500,SF@COL 03/10/2023 03:10PM ET,COL,2.61
SP,Dinelson Lamet (26944688),Dinelson Lamet,26944688,P,4500,SF@COL 03/10/2023 03:10PM ET,COL,2.72
1B,LaMonte Wade Jr. (26944689),LaMonte Wade Jr.,26944689,1B,4500,SF@COL 03/10/2023 03:10PM ET,SF,5.03
C,Brian Serven (26944690),Brian Serven,26944690,C,4500,SF@COL 03/10/2023 03:10PM ET,COL,4.34
3B,Elehuris Montero (26944697),Elehuris Montero,26944697,3B,4500,SF@COL 03/10/2023 03:10PM ET,COL,5.66
SP,Jorge Guzman (26944698),Jorge Guzman,26944698,P,4500,SF@COL 03/10/2023 03:10PM ET,SF,0
2B,Brendan Rodgers (26944709),Brendan Rodgers,26944709,2B,4500,SF@COL 03/10/2023 03:10PM ET,COL,6.96
SP,Peter Lambert (26944713),Peter Lambert,26944713,P,4500,SF@COL 03/10/2023 03:10PM ET,COL,0
SP,Thomas Szapucki (26944717),Thomas Szapucki,26944717,P,4500,SF@COL 03/10/2023 03:10PM ET,SF,2.74
RP,Justin Lawrence (26944718),Justin Lawrence,26944718,P,4500,SF@COL 03/10/2023 03:10PM ET,COL,2.89
C,Jonathan Morales (26944723),Jonathan Morales,26944723,C,4500,SF@COL 03/10/2023 03:10PM ET,COL,0
SP,Ryan Feltner (26944724),Ryan Feltner,26944724,P,4500,SF@COL 03/10/2023 03:10PM ET,COL,9.59
C,Joey Bart (26944725),Joey Bart,26944725,C,4500,SF@COL 03/10/2023 03:10PM ET,SF,4.59
SP,Tristan Beck (26944728),Tristan Beck,26944728,P,4500,SF@COL 03/10/2023 03:10PM ET,SF,0
RP,Daniel Tillo (26944730),Daniel Tillo,26944730,P,4500,SF@COL 03/10/2023 03:10PM ET,SF,0
SP,Kade McClure (26944737),Kade McClure,26944737,P,4500,SF@COL 03/10/2023 03:10PM ET,SF,0
OF,Sean Bouchard (26944739),Sean Bouchard,26944739,OF,4500,SF@COL 03/10/2023 03:10PM ET,COL,6.78
RP,Jake Bird (26944742),Jake Bird,26944742,P,4500,SF@COL 03/10/2023 03:10PM ET,COL,2.74
RP,Camilo Doval (26944748),Camilo Doval,26944748,P,4500,SF@COL 03/10/2023 03:10PM ET,SF,3.62
RP,Riley Pint (26944756),Riley Pint,26944756,P,4500,SF@COL 03/10/2023 03:10PM ET,COL,0
1B/OF,Nolan Jones (26944758),Nolan Jones,26944758,1B/OF,4500,SF@COL 03/10/2023 03:10PM ET,COL,5.32
SP,Sam Long (26944778),Sam Long,26944778,P,4500,SF@COL 03/10/2023 03:10PM ET,SF,3.40
RP,Blair Calvo (26944779),Blair Calvo,26944779,P,4500,SF@COL 03/10/2023 03:10PM ET,COL,0
1B/OF,Michael Toglia (26944780),Michael Toglia,26944780,1B/OF,4500,SF@COL 03/10/2023 03:10PM ET,COL,5.77
C,Blake Sabol (26944784),Blake Sabol,26944784,C,4500,SF@COL 03/10/2023 03:10PM ET,SF,0
SP,Ryan Rolison (26944789),Ryan Rolison,26944789,P,4500,SF@COL 03/10/2023 03:10PM ET,COL,0
OF,Jameson Hannah (26944798),Jameson Hannah,26944798,OF,4500,SF@COL 03/10/2023 03:10PM ET,COL,0
SP,Noah Davis (26944802),Noah Davis,26944802,P,4500,SF@COL 03/10/2023 03:10PM ET,COL,-0.15
RP,Sean Hjelle (26944815),Sean Hjelle,26944815,P,4500,SF@COL 03/10/2023 03:10PM ET,SF,7.38
2B/SS,Alan Trejo (26944819),Alan Trejo,26944819,2B/SS,4500,SF@COL 03/10/2023 03:10PM ET,COL,6.26
OF,Heliot Ramos (26944825),Heliot Ramos,26944825,OF,4500,SF@COL 03/10/2023 03:10PM ET,SF,2
OF,Luis Gonzalez (26944832),Luis Gonzalez,26944832,OF,4500,SF@COL 03/10/2023 03:10PM ET,SF,5.72
SP,Keaton Winn (26944840),Keaton Winn,26944840,P,4500,SF@COL 03/10/2023 03:10PM ET,SF,0
SP,Jeff Criswell (26944846),Jeff Criswell,26944846,P,4500,SF@COL 03/10/2023 03:10PM ET,COL,0
RP,Gavin Hollowell (26944852),Gavin Hollowell,26944852,P,4500,SF@COL 03/10/2023 03:10PM ET,COL,2.19
SS,Julio Carreras (26944862),Julio Carreras,26944862,SS,4500,SF@COL 03/10/2023 03:10PM ET,COL,0
3B,David Villar (26944873),David Villar,26944873,3B,4500,SF@COL 03/10/2023 03:10PM ET,SF,6.27
RP,Jose Cruz (26944878),Jose Cruz,26944878,P,4500,SF@COL 03/10/2023 03:10PM ET,SF,0
SS,Ezequiel Tovar (26944882),Ezequiel Tovar,26944882,SS,4500,SF@COL 03/10/2023 03:10PM ET,COL,4.67
RP,Nick Mears (26944883),Nick Mears,26944883,P,4500,SF@COL 03/10/2023 03:10PM ET,COL,3.65
SS,Marco Luciano (26944884),Marco Luciano,26944884,SS,4500,SF@COL 03/10/2023 03:10PM ET,SF,0
RP,Erik Miller (26944888),Erik Miller,26944888,P,4500,SF@COL 03/10/2023 03:10PM ET,SF,0
OF,Brenton Doyle (26944893),Brenton Doyle,26944893,OF,4500,SF@COL 03/10/2023 03:10PM ET,COL,0
2B/SS,Brett Wisely (26944894),Brett Wisely,26944894,2B/SS,4500,SF@COL 03/10/2023 03:10PM ET,SF,0
RP,Cole Waites (26944896),Cole Waites,26944896,P,4500,SF@COL 03/10/2023 03:10PM ET,SF,1.54
OF,Luis Matos (26944901),Luis Matos,26944901,OF,4500,SF@COL 03/10/2023 03:10PM ET,SF,0
3B,Warming Bernabel (26944904),Warming Bernabel,26944904,3B,4500,SF@COL 03/10/2023 03:10PM ET,COL,0
